sents,labels
wait for enigma s ult,O O C O S
noob,T
stupid monkjey,T O
end it [SEPA] see,O P SEPA O
good,O
dust,D
GG [SEPA],S SEPA
do not apologise,O O O
silence dick sucker,D T T
Fuck yo self,T O O
yeah,O
GG kids,S O
Do you know him,O P O P
zz,S
ez clock,S C
ME,P
rip english,O O
he want farm,P O S
omg,O
nc arrow,O O
ggwp,S
are you playing as a tema,O P O P O O
hola [SEPA] weaver 1k mmr,O SEPA C O D
slardar [SEPA] put ss on me,C SEPA O C O P
ty,O
agree,O
good echo in trees guys [SEPA] and you still not pushing :D :D :D,O O O O P SEPA O P O O O O O O
ooohhh [SEPA] FUck,O SEPA T
ez,S
ffs [SEPA] whats your problems,T SEPA P P O
what happened to her,P O O P
ROFL,S
bivaet,O
report silencer please,S C O
keeps spamming poormans shield,O O D D
stay the fuck in 4k u fucktrash,S O T O O P O
just chill mate [SEPA] fuck [SEPA] relax [SEPA] stop getting all aggressive on me [SEPA] relax,O O O SEPA T SEPA O SEPA O O P O O P SEPA O
5200 = RO [SEPA] 5150 = radiance [SEPA] still build radiance,O O O SEPA O O D SEPA O O D
hes on ur nc for the time before he dc,O O P O O O O O P O
ikr,O
COMPRENDE [SEPA] NO [SEPA] JUST SAY OK DADDY,O SEPA O SEPA O O O O
gg,S
well if you would let us just push we could :D,O O P O O P O S P O O
gg [SEPA] omg [SEPA] so stronk,S SEPA O SEPA O O
wtf [SEPA] leave this game idiots,T SEPA O P O T
gg,S
4 min,O O
entrense mid [SEPA] burros,O S SEPA O
they rc,P O
gg,S
too much recure AMor,O O O O
ur visage was shit,P C O T
gg,S
gg,S
since when mirana not carry hero [SEPA] surely 1st time wp,O O C O S O SEPA O O O S
10 not the goods,O O O O
lol,O
ez trad [SEPA] Trade,S O SEPA O
gg,S
ember [SEPA] hahaah,C SEPA O
g,O
RETARD,T
GG,S
:,O
no rampage noob reportr [SEPA] nvm,O O T O SEPA O
GGWP,S
easy :D,O O
pudge,C
full item,O O
He wants to pad your KDAs [SEPA] hes being nice man,P O O O P O SEPA O O O P
GG,S
rly,O
GG,S
ez,S
ask your parents to teach you english,O P O O O P O
NO CURIER GG [SEPA] END PLEASE,O D S SEPA O O
ez friend,S O
deep more team [SEPA] wat a dumb tri lane top,O O O SEPA O O T O S S
LOL [SEPA] what a skill,O SEPA P O S
each day i get more suprised by this game,P O P O O O O P O
i said pick omni [SEPA] he tell me [SEPA] :3 [SEPA] just pciks ez win,P O O C SEPA P O P SEPA O SEPA O O S O
ez [SEPA] cry at mid,S SEPA O O S
moral was low,O O O
only i buy wards [SEPA] and its no fun [SEPA] i dont play for the win,O P O S SEPA O P O O SEPA P O O O O O
thanks,O
gg,S
noob 1 8 k mmr [SEPA] I am 4 mmr [SEPA] 4 k,T O O O D SEPA P C O D SEPA O O
rofl,S
wp teamwork,S O
not sure how u guys lost,O O O P P O
oh dont saw [SEPA] :) [SEPA] gl,O O O SEPA O SEPA S
pudge,C
end pls invo,O O C
2 on 4 hahaha [SEPA] GGWP,O O O O SEPA S
all gg only tech BASTARD [SEPA] REPORTED TEH,P S O O T SEPA O O
cada ves tocan [SEPA] mas basuras [SEPA] en el dota,O O O SEPA O O SEPA O O D
yeah just repoirt him,O O O P
FeelsBadMan,O
2 those items [SEPA] nice farming,O P O SEPA O S
ds was carrying u guys,O O O P P
fy,O
ggwp,S
gg,S
lol,O
gg [SEPA] fuck dota 2,S SEPA T D O
ez 25,S O
injoker noob,O T
Yeah and we are the one with the damage,O O P O O P O O S
plz no,O O
Rektd [SEPA] WR,O SEPA C
lol lc,O D
haha [SEPA] bout time,O SEPA O O
zz,S
w0w [SEPA] magina [SEPA] pro,O SEPA O SEPA O
where are you going,P O P O
HOW EZ,O S
tekkies = lose,C O O
:D,O
TREANT SOPRESA [SEPA] :v,O O SEPA O
nice throw [SEPA] monkeys,O S SEPA O
WHY ARE WE YELLING,O O P O
haha,O
l,O
noob,T
ez lion :D,S C O
partyrock [SEPA] report lycab,O SEPA S O
we can see from the scoreboard,P O O O O O
now u blaming me on my items [SEPA] no worry,O P O P O P O SEPA O O
just relax everyone,O O P
atleast tell me,O O P
holy shit,O T
run like doge,O O O
badtrri,O
GG WP,S S
ff [SEPA] ez mid,S SEPA S S
chmo ebanoe,O O
REPORT TERROR,S C
oh hey it is you [SEPA] LOL,O O P O P SEPA O
sad,O
gg boys,S O
haha,O
i love you mom [SEPA] ops,P O P D SEPA O
gg,S
your welcome,P O
how is this trash talks [SEPA] 0 grave,O O P O O SEPA O O
lol,O
ez predict,S O
ty,O
welll dont cry on the begining,O O O O O O
G,O
wp invoker,S C
lol es,O C
magic,O
aegis bait,D S
it was hard as fuck,P O O P T
gg wp,S S
EZ,S
axaxaxa,O
FEEEEEED MEEEEEEEE,O O
u sure gg [SEPA] say mnmay,P O S SEPA O O
1500,O
EZIEST GAME IN LIFE,S O O O
how much now,O O O
dk is the main target,C O O O O
ok [SEPA] destroy ur items,O SEPA O P O
shit alttab,T O
Report PA for ruining [SEPA] Report PA for attempted ruining,S C O O SEPA S C O O O
were not desperate [SEPA] were already winning,O O O SEPA O O O
ggwp,S
gg,S
die again haha,O O O
dont,O
easy game,O O
20mins after i bought an mkb,O O P O O D
look your pussy,O P T
[SEPA] happy birthday,SEPA O O
s,O
unfair,O
gg wp [SEPA] 9x me,S S SEPA O P
what,P
ez ebat,S O
u,P
xD,O
gg,S
xD [SEPA] wp,O SEPA S
and retards,O T
GG,S
silencer,C
Idgaf its ez mid,O P S S
ROFL,S
intro :D,O O
hahahahaah,O
gg,S
mid i feed,S P D
6,O
i never died solo to am in lane [SEPA] Eveeeerrrrrrr,P O O S O C O S SEPA O
and never purges shackles [SEPA] pudge missed a hook on a enigma using black hole,O O O D SEPA C O O T O O C O T T
yes it is,O P O
ahahahahaha,O
its called defend of the ancient,P O O O O S
wp ulti [SEPA] wp w p,S S SEPA S O O
I think you could hove won,P O P O O O
wtf man,T P
FAST,O
did u expect to lose,O P O O O
ik but the logic,O O O O
ok finish guys,O O P
he got bounty [SEPA] :p,P O O SEPA O
ta yasha [SEPA] nice hero rubick [SEPA] afk omni,C D SEPA O O C SEPA S C
lol,O
your welcome,P O
omg [SEPA] come back is real,O SEPA O S O O
rekt [SEPA] 25mmr [SEPA] lol,O SEPA D SEPA O
fuck ytou guys,T O P
noob ta [SEPA] no sup u can dun wat [SEPA] noob ya,T C SEPA O S P O O O SEPA T O
techis is in fucked up mood [SEPA] thats great [SEPA] good for us,C O O T O O SEPA P O SEPA O O P
1 min,O O
trench gaming,O O
end,O
gg [SEPA] push to end please,S SEPA S O O O
G G,O O
aaahajahahahahhahahahahahaha,O
yuo sry,O O
little whingey fucking faggot,O O T T
what is this,P O P
stupid vodkahead,T O
ok next time sf,O O O C
JAVRA [SEPA],O SEPA
me 2k,P O
make 1hr,O O
nope,O
haha,O
bobo,O
can u shut up [SEPA] i had acid team,O P O O SEPA P O O O
thought u woulda had this with the farm,O P O O P O O S
a clash u will get,O O P O O
GG,S
my team [SEPA] only in my team [SEPA] i have feeders,P O SEPA O O P O SEPA P O S
the bkbless gryo talking shit,O O O O T
Yes it is,O P O
:D :D :D :D : [SEPA] :D :D :D :D :D,O O O O O SEPA O O O O O
gj axe [SEPA] gj timber,S C SEPA S O
that is him being a dumbass then,P O P O O T O
end please [SEPA] my team noobs,O O SEPA P O T
you spelled shit wind wrong,P O T C O
he voting for Donald Trump 2016 [SEPA] For great wall of immigration,P O O O O O SEPA O O O O O
we have time out :|,P O O O O
need to trow this game,O O O P O
fucking,T
teehee,O
gg emd [SEPA] end,S O SEPA O
more wards,O S
That was not a gg lmao,P O O O S O
LOL,O
nice arlmet,O O
ez,S
LD,O
gg,S
you can push now or in 30 min it will have the same result [SEPA] your choice,P O S O O O O O P O O O O O SEPA P O
no w8,O O
ty,O
gg,S
sr 3kscrub,O O
i am on my way [SEPA] ;),P C O P O SEPA O
that wasnt even fun,P O O O
why,O
WP,S
lol [SEPA] finally,O SEPA O
The first monkey playing dota pang guinness,O O O O D O O
LOL,O
road to 5k trash,O O O O
ooooooooooooooooooooooom,S
rage,D
And ur a brood picker,O P O C O
hahaha,O
lol,O
how do u even play if u DC every 2 sec [SEPA] im pretty sure he RQ,O O P O O O P O O O O SEPA O O O P O
GG,S
lol,O
lol,O
U luck bitch,P O T
[SEPA] U SAID END [SEPA] I WANNA EAT DUDE,SEPA P O O SEPA P O O P
cute red john say that to me irl im in the 44th infantry brigade,O O O O P O P O O O O O O O
wk no dagger no sb :(,O O D O C O
start,O
; DDD [SEPA] Close game,O S SEPA O O
:P,O
i run,P O
ez ur ass,S P T
wait [SEPA] please,O SEPA O
i guess,P O
2min ago,O O
134 [SEPA] csw [SEPA] Cs,O SEPA O SEPA S
hays [SEPA] ok klng po ate magina : [SEPA] :),O SEPA O O O O O O SEPA O
haha [SEPA] hahaha,O SEPA O
Gg,S
gg wp,S S
tY,O
lol [SEPA] 2 mis,O SEPA O O
emer easy money,O O O
io tiny pa :D,C C C O
wkwkw,O
until hes back,O O S
idiot team,T O
noob necro,T C
hard lane tho xD,O S O O
so [SEPA] wait,O SEPA O
ot 4k boga,O O O
gg wp,S S
#ERROR!,O
gg,S
kompor bledos gan,O O O
gg,S
we are still loosing patience,P O O O O
dont blame,O O
lol,O
haha,O
FGOGOGOOGOG,O
jahahaha,O
enbd,O
1 more min,O O O
:D,O
GO invit me [SEPA] IDIOT AM [SEPA] KONTOLAN,S O P SEPA T C SEPA O
jug,C
at least u try wp,O O P O S
rage quit,D O
well,O
LOL,O
today :(,O O
ur pleasure :D,P O O
Gg,S
who wants to watch a 2k stream,P O O O O O O
reporta [SEPA] pro ibama [SEPA] fdp sacrifica animais,S SEPA O O SEPA O O O
sad,O
gg mates,S O
so,O
leave pls [SEPA] go end,O O SEPA S O
gg ff [SEPA] im afk,S S SEPA O S
its in the bag [SEPA] los q no tienen plata [SEPA] solo les queda hablar :C,P O O O SEPA O O O O O SEPA S O O O O
ayyyyy,O
Im playing [SEPA] Do you care [SEPA] GG [SEPA] Nice game :),O O SEPA O P S SEPA S SEPA O O O
but she stading in the stree,O P O O O O
GG,S
rampage,O
DOOM [SEPA] AHAHAH [SEPA] WAHAHGAh,C SEPA O SEPA O
Or end the game [SEPA] you know,O O O O SEPA P O
didnt you lose first blood to me by just standing in front of me [SEPA] dont blame the others,O P O O S O P O O O O O O P SEPA O O O P
HAHAHA [SEPA] YES,O SEPA O
thats op,P O
lol [SEPA] ugly,O SEPA O
who u want us to report [SEPA] DK,P P O P O S SEPA C
XDXD,O
:*,O
report doom,S C
lol stupid tusk,O T C
lina mid,C S
let me 1 v 1,O P O O O
u guys gank too much,P P S O O
aw [SEPA] aw [SEPA] aw,O SEPA O SEPA O
gg wp,S S
what the fuckin hell,P O T O
yolo huskar,O C
gg [SEPA] commend me,S SEPA O P
gg wp come bot [SEPA] I feed u,S S O S SEPA P D P
Ez top,S S
ta 5v,C O
use your familiars [SEPA] to stun wd,O P O SEPA O S C
lol,O
not yet,O O
:V,O
ty [SEPA] but apparently i dont now how to support,O SEPA O O P O O O O S
if you want to be OK kiss my penis every day,O P O O O O O P T O O
haha,O
hahahahahahahahaha,O
ggwp,S
GG WP [SEPA] RADIC 8 MIN,S S SEPA O O O
18,O
everyone commend pheonix,P O O
report puck pls,S C O
wait for riki,O O C
maybe you should not hug your team,O P O O O P O
i failed,P O
gg omni,S C
ha timing bro,O O P
rmk,O
poor sf,O C
Lol,O
ADADAS,O
Shut the fuck up,O O T O
u nigga [SEPA] LEL,P T SEPA O
he is noob,P O T
lol,O
l ol,O O
ez [SEPA] ty for feed pudge,S SEPA O O D C
WTF 2v5 doing rs [SEPA] haha,T O O O SEPA O
WAIT [SEPA] WAIT [SEPA] CAN PAUSE [SEPA] IM SOO LAG HEREE,O SEPA O SEPA O O SEPA O O O O
hard to lane againts you,O O S O P
haha,O
wp,S
Thank you [SEPA] love ur pussy,O P SEPA O P T
LC noob,D T
they are coming,P O O
gg,S
ty [SEPA] go,O SEPA S
GGWP [SEPA] MID FEED GO [SEPA] IDIOTS IN TEAM,S SEPA S D S SEPA T O O
whats your problem gay venge [SEPA] you think you are strong,P P O T C SEPA P O P O O
HAHA SVEN,O C
lol boid,O O
haha,O
HAHA [SEPA] GLHF,O SEPA S
:C,O
every cunt getting home from work on the net,O T O O O O O O O
noobs,T
So hard,O O
im a scott,O O O
rekt,O
pudge afk :D,C S O
ur even worse,P O O
talk if you have guts to win against my team :),O O P O O O O O P O O
BEST ALCHE [SEPA] BOOTS 22 MINS,O C SEPA D O O
gg,S
unpause,O
w8 me,O P
enjoy the game,O O O
LMAO,O
0 wards [SEPA] wp [SEPA] wp mid wp carry [SEPA] typical trash in core,O S SEPA S SEPA S S S S SEPA O O O O
wicp,O
ggwp :),S O
waahahaha,O
my bad sorry,P O O
ez,S
heheh,O
REPORT [SEPA] R E P O R T,S SEPA O O O O O O
Ya,O
ggwp,S
the rat is up in here [SEPA] welcome fucker,O S O O O O SEPA O T
y i fuck,O P T
ouch guys [SEPA] stop being nasty,O P SEPA O O T
sf and tide,C O C
HAHA,O
blame cuz I take bot farm,O P P S S S
five man carry [SEPA] ggwp,O P S SEPA S
nice game,O O
In the picks we had planned to pick jugg and right before we picked him you did,O O O P O O O O C O O O P O P P O
EHEREE [SEPA] WHEREE,O SEPA P
gg,S
nope,O
like buyback can possibly help :),O O O O S O
thx weaver,O C
FUCIK [SEPA] FUCKA TOYHPJ [SEPA] wahts ur problem,O SEPA T O SEPA O P O
FREE TO LEAVE,O O O
wail played,O O
CENTAUR NEVER ULT,C O S
Dota watafak,D O
PL,C
furion think he have the late game :D [SEPA] so sad :(,C O P O O O O O SEPA O O O
ggwp,S
commended added tiny and disro,O O C O O
NOOB,T
Gg,S
fu,T
sad,O
sad,O
GG,S
haha,O
rep rt tinker please noob,O O C O T
Worst ld ive seen,O O O O
y im bashing so much,O O O O O
wp qop,S C
bommmm,O
who has a good build,P O O O O
wewe,O
WP TEAM,S O
jk,O
w e game voer team is fucking retarded once again,O O O O O O T T O O
I M THE HEALER,P O O O
lel,O
cause [SEPA] idk,O SEPA O
gg,S
TOP,S
ez,S
nice [SEPA] 8 miss [SEPA] love dota,O SEPA O S SEPA O D
dont masturvbate while playing,O T O O
ult creeps more,S S O
FUCK U KA [SEPA] HAHA [SEPA] REALLY,T P O SEPA O SEPA O
plz report him,O S P
gg [SEPA] happy def,S SEPA O O
and [SEPA],O SEPA
commend me guys,O P P
ty gem [SEPA] idiots,O D SEPA T
gg,S
dont lie to me doom,O O O P C
report our mid please,S P S O
wtf,T
go to sleep child,S O O O
Ez BOT,S S
gg,S
if he dc then it will be safe to leave,O P O O P O O S O O
worth,O
wb [SEPA] wrong way,O SEPA O O
29,O
hows soloing ursa going mate,O O C O O
WAIT,O
hello,O
10 [SEPA] i want ur team mid [SEPA] i no need this mid,O SEPA P O P O S SEPA P O O P S
XD,O
wp,S
3k MMR logic,O D O
his dota crashed sec,P D O O
THE BKBS,O O
walking money,O O
kotl wants to win badly ks me twice good way,C O O O O S P O O O
aus doita is fucking trash,O O O T O
ty,O
yeah [SEPA] so quite,O SEPA O O
lol,O
he got stuck at loading screen,P O O O O O
something wrong with the kid,P O O O O
creep awarness [SEPA] its important,S O SEPA P O
GG,S
hahaha [SEPA] w e,O SEPA O O
ggwp [SEPA] :V,S SEPA O
blame,O
Cause ur toxic,O P O
why u mad kid,O P O O
slark is luckman,C O O
haha [SEPA] haha [SEPA] es carry the wolrd,O SEPA O SEPA C S O O
win with me,O O P
ggwp,S
gg,S
man,P
raped by rat lol,T O S O
ez hook ez ff,S T S S
i know [SEPA] ur not pushing [SEPA] and letting us farm [SEPA] u might just lose this game,P O SEPA P O O SEPA O O P S SEPA P O O O P O
LOLOLOLOLOLO,O
thanks for waiting,O O O
why the fuck are u all chatting [SEPA] u think ur bad [SEPA] get the fuck outta here,O O T O P P O SEPA P O P O SEPA O O T O O
he s change h s pc,P O O O O O
GG,S
gg,S
and their shiti connection,O P O O
like u lost ur brain [SEPA] nice story [SEPA] im waiting loser,O P O P O SEPA O O SEPA O O O
glhf [SEPA] dont ward please,S SEPA O S O
sigh,O
Noob SF user,T C O
puto lag,O O
GG WP,S S
RS,O
ok,O
jz df,O O
no worries,O O
5l [SEPA] 5k [SEPA] let skill guy with aegis only [SEPA] pro,O SEPA O SEPA O S P O D O SEPA O
go am [SEPA] got you,S C SEPA O P
Kappa,O
gg,S
FUCKING EVASIOOON [SEPA] WHERE IS DIVINA S RAPIRA,T O SEPA P O O O O
noob mid,T S
i delay,P O
that was going [SEPA] to happen,P O O SEPA O O
ptmr [SEPA] ctmr [SEPA] am i peru yet,O SEPA O SEPA C P T O
get used to me touching you,O O O P O P
reKT [SEPA] AA [SEPA] doG SHIT,O SEPA C SEPA O T
I blame my dad for taking 13 years to get cigarettes,P O P O O O O O O O O
haha,O
end [SEPA] GG [SEPA] noob team,O SEPA S SEPA T O
gg,S
to rekt ur annus fucking noob,O O P O T T
wtf,T
gg,S
1k carry ftw,O S O
there is no commendation for good play,P O O O O O O
fuck you,T P
ez,S
dont worry u win late game,O O P O O O
worth,O
ahhah,O
RUDE [SEPA] WE WAITED,O SEPA P O
cyka blyat,O O
Nice interwebs BS,O O S
peru win [SEPA] sorry boy :c,T O SEPA O O O
didnt want u to press e [SEPA] and get ez kill [SEPA] ah [SEPA] ogre try hard,O O P O O O SEPA O O S O SEPA O SEPA C O O
gg,S
wp inveokr ez game for u,S O S O O P
draon hook,O T
its my bottle [SEPA] in your curier,P P D SEPA O P D
CAN REPORT GYRO PLS,O S C O
sf [SEPA] too noob,C SEPA O T
Not even mad,O O O
YOU THINK THIS MMR WAS FREE,P O P D O O
kjikl [SEPA] come,O SEPA O
GIGI [SEPA] WE LOST,O SEPA P O
i delete u :P [SEPA] qop,P O P O SEPA C
lol,O
purple [SEPA] changed my mind,O SEPA O P O
ty predict [SEPA] ez game for noobs,O O SEPA S O O T
worst cpt ever,O O O
lol,O
why do you even play,O O P O O
yeah pretty funny,O O O
g end,O O
mine for sure,P O O
FAST HAND NOOBS,O O T
Hehe,O
nice,O
what a retard [SEPA] this ember lmfao [SEPA] and i thought pl is retarded,P O T SEPA P C T SEPA O P O C O T
:D :D ::D jk [SEPA] try [SEPA] ty,O O O O SEPA O SEPA O
ggwp,S
ok finish please [SEPA] gunna play rocket league,O O O SEPA O O O D
gg,S
HAHA [SEPA] [SEPA] lol [SEPA] dead too [SEPA] killed by support [SEPA] real food,O SEPA SEPA O SEPA T O SEPA O O S SEPA O O
INVOKER,C
Xd,O
ESSS,O
so shit,O T
lol [SEPA] i have a horse,O SEPA P O O O
gg [SEPA] wp [SEPA] well recovered lycan,S SEPA S SEPA O O C
id rather go to bed [SEPA] gg die of cancer bh piece of shit uninstall [SEPA] fuk off,O O S O O SEPA S O O S C O O T O SEPA T S
LMAO,O
cumback,O
over 9000 range,O O O
END,O
lol,O
I also know my tide did nothing,P O O P C O P
stupid exams,T O
trying hard,O O
jaja [SEPA] pro axe [SEPA] daga min 20 :v,O SEPA O C SEPA O O O O
actually mid failed,O S O
hehe,O
end it,O P
ggwp,S
idiot,T
just comment,O O
19 ez [SEPA] so this green guy [SEPA] is streaming right now,O S SEPA O P O P SEPA O O O O
jaja,O
pinoy gaming style,O O O
noob 5v3,T O
someone else lol,P O O
2ez,S
ure the cause of ur own doom [SEPA] also,O O O O P O C SEPA O
u realize u are so fucking braindamaged when the stupid enemy got rampage [SEPA] wp wr,P O P O O T O O O T T O O SEPA S C
lol,O
sry [SEPA] u r out of postion,O SEPA P O O O O
Brb,S
1 min,O O
its slark picker,P C O
gg,S
lol arrow,O O
pick ganking team never gank,O S O O S
ggw p,O O
first time am,O O C
commend wisp,O C
ok,O
tryhards,O
save my life [SEPA] commened,O P O SEPA O
hahaha,O
commerd :D [SEPA] commend,O O SEPA O
shit team,T O
lawl,O
this [SEPA] sk [SEPA] s onoob [SEPA] stun [SEPA] always suicide [SEPA] suicide as idiot,P SEPA C SEPA O O SEPA S SEPA O O SEPA O P T
report him,S P
:D,O
Ez [SEPA] lel,S SEPA O
gg,S
Space created,O O
i am here to punish you yoshi [SEPA] for missing that last arrow,P C O O O P O SEPA O S P O O
ty es [SEPA] 4 v 4,O C SEPA O O O
naga [SEPA] stop it dude,C SEPA O P P
[SEPA] ember,SEPA C
Ez aqop,S O
bad luck tusker,O O O
bird brain [SEPA] un install dota later bane,D O SEPA O O D O C
NOOB PL,T C
ANO BA,O O
GG,S
gg,S
noobla,T
k,O
;) [SEPA] WOW,O SEPA O
cuello,O
report pls jugg,S O C
resume [SEPA] deads,O SEPA O
wew [SEPA] tq for DMage Duel,O SEPA O O S D
de dark daddys,O C O
wp gg,S S
lol,O
bcuz of fucking tards,O O T T
wr still wants to waste time,C O O O O O
kontol,O
GWP [SEPA] GGWP,O SEPA S
go leave dota pls [SEPA] u fuckign suck ass,S O D O SEPA P T T T
noob bh no boot [SEPA] fuck la noob,T C O O SEPA T O T
SAND KING [SEPA] you lose i thing,C C SEPA P O P O
kill them and end ffs,O P O O T
4 tiny ok,O C O
lucky :DD,O O
You stupid,P T
all been planned though,P O O O
commend,O
ez,S
end,O
D :,O O
Ez [SEPA] funy game,S SEPA O O
clowny game,O O
just wait pls [SEPA] yes,O O O SEPA O
if i have 3th wqill rpeort void,O P O O O O C
semantics is wrong [SEPA] aesthetics is the word you are looking for,O O O SEPA O O O O P O O O
lol,O
you gotta be kidding me,P O O O P
just fin mid [SEPA] or top,O O S SEPA O S
yeah,O
my predict LOL hahaa sad sad sad,P O O O O O O
gg,S
he say,P O
TANK LOL [SEPA] OKAY,S O SEPA O
yes,O
just lose,O O
gg wp,S S
GG BS,S S
ggwp,S
sk tryhard,C O
better go next if we play 4v5,O S O O P O O
because i have others things to do than wait,O P O P O O O O O
u known,P O
fuck me,T P
report vs [SEPA] pls,S O SEPA O
RETARD,T
lol,O
retarded qop,T C
vcs sao lixos [SEPA] n fode [SEPA] acha q fez algo [SEPA] ainda tirei item [SEPA] mas o cara q core [SEPA] sem usa skill [SEPA] vtnc,O O O SEPA O O SEPA O O O O SEPA O O O SEPA O O O O O SEPA O O S SEPA O
omg [SEPA] quiet am,O SEPA O C
let me know [SEPA] is alchemist raging,O P O SEPA O C O
haha,O
DP [SEPA] want revenge [SEPA] LOL [SEPA] u cant [SEPA] and u cant avenge ur courier,C SEPA O O SEPA O SEPA P O SEPA O P O O P D
please report him [SEPA] he ruined a good game,O S P SEPA P O O O O
pugna bro where are your items,C P P O P O
lol,O
go mid,S S
i have,P O
shakermon,O
[SEPA] huys [SEPA] guys,SEPA O SEPA P
wr [SEPA] stop trying to kill me with powershot [SEPA] and fucking man up,C SEPA O O O O P O D SEPA O T P O
71commends,O
shit viper,T C
lol,O
thailand 2 [SEPA] yeah2,O O SEPA O
very honorable,O O
one bb [SEPA] please,P C SEPA O
let them have it,O P O P
niceu lt,O O
gg farmers,S O
#ERROR!,O
w8,O
yes hes braindead,O O O
im just 12 years old,O O O O O
am is feeding,C O S
pause more,O O
;/,O
say what bitches,O P T
wakaka,O
u need the normalalc build,P O O O O
wtf,T
asshole,T
lol,O
worst ud in eu,O O O O
GG [SEPA] ITS A GG,S SEPA P O S
gg wp,S S
as if i didnt get a helic with 6 creep,P O P O O O O O O S
gg predict gg mif [SEPA] noob predict,S O S O SEPA T O
moan more,O O
my game starts soon so i dont have the time,P O O O O P O O O O
lel [SEPA] i just pick 4 fun,O SEPA P O O O O
Lol,O
CATH LACSON [SEPA] IS THAT YOU,O O SEPA O P P
gg,S
NOOOOO,O
roki,O
gg wp,S S
mmm fed tb,O O C
actually its gay naga [SEPA] not naga,O P T C SEPA O C
